Название Скважины,ГЗУ,Связь,Статус работы,Тип Скважины,"Qж (факт), т/сут","Qж (4 часа), т/сут","Рлин, атм","Тлин, °C","Работа, ч",Комментарии
971,ГЗУ-12 ввг,1783939049.562,Stop,Pcp,7.741998980854394,3.415460559418647,,,-,
973,ГЗУ-12 ввг,1783943006.986,,Pcp,27.098079889607863,25.416062227108764,,,-,
974,ГЗУ-12 ввг,1783941698.087,Stop,Pcp,23.966407787411868,23.903832287737572,,,-,
976,ГЗУ-12 ввг,1783942540.487,Running,Pcp,28.010636131156517,28.08102694043208,,,-,
988,ГЗУ-12 ввг,1783942441.376,Running,Pcp,31.215762852579992,30.763896534392124,,,-,
1010,ГЗУ-12а ввг,1779276148.826,,Pcp,null,null,,,-,
1014,ГЗУ-12 ввг,1783941799.536,Stop,Pcp,56.273002423131764,56.002625682519856,,,-,
1015,ГЗУ-12 ввг,1783943475.829,Running,Srp,32.619797397218164,32.61229942784182,,,-,
1016,ГЗУ-12а ввг,1783942465.991,,Pcp,0,0,,,-,
1022,ГЗУ-12а ввг,1783941932.132,Running,Pcp,35.43986441403138,35.335714744881216,,,-,
1023,ГЗУ-12а ввг,1783942982.829,,Pcp,1.5701429470706378,1.5915046884346746,,,-,
1025,ГЗУ-12а ввг,1783942604.379,Stop,Pcp,39.22416446291146,39.214352498678885,,,-,
1030,ГЗУ-1 ввг,1780365636.664,,Pcp,null,null,,,-,
1032,ГЗУ-1 ввг,1774959324.514,Stop,Pcp,null,null,,,-,
1034,ГЗУ-1 ввг,1783942615.69,Running,Pcp,16.79463832824172,16.735629510737162,,,-,
1049,ГЗУ-12а ввг,1783941832.1,,Pcp,8.581139377650366,null,,,-,
1053,ГЗУ-12а ввг,1783943295.292,Running,Pcp,23.33186779122876,24.140711156081096,,,-,
1055,ГЗУ-12а ввг,1780039347.121,Running,Pcp,null,null,,,-,
1056,ГЗУ-12а ввг,1783943306.846,Stop,Srp,41.11654663786205,41.77214704251088,,,-,
1059,ГЗУ-12а ввг,1783942801.28,Running,Pcp,65.70529799542719,65.46102266794033,,,-,
1061,ГЗУ-12а ввг,1783943398.959,,Pcp,3.6698280707881743,24.2449575287389,,,-,
1063,ГЗУ-12а ввг,1783942313.414,Running,Srp,27.759966548706927,27.837832452641592,,,-,
1065,ГЗУ-12а ввг,1783942681.218,,Pcp,70.41145324951374,70.297108361008,,,-,
1067,ГЗУ-12 ввг,1783941123.799,Stop,Pcp,18.86442036188818,19.363716893685574,,,-,
1069,ГЗУ-12 ввг,1781834428.024,,Pcp,null,null,,,-,
1088,ГЗУ-12 ввг,1783941567.959,Running,Srp,17.937424158409975,17.86416720956311,,,-,
1090,ГЗУ-12 ввг,1783942657.884,Stop,Srp,55.4154669113576,55.87633326463097,,,-,
1102,ГЗУ-1 ввг,1783943437.343,Running,Srp,18.988992447586465,18.916970336510307,,,-,
1104,ГЗУ-1 ввг,1783942845.949,,Pcp,37.6317193924405,37.122415735513066,,,-,
1105,ГЗУ-1 ввг,1783942369.309,Running,Srp,null,36.24375622305779,,,-,
1106,ГЗУ-1 ввг,1783940248.551,Stop,Srp,4.8924855257867454,4.926514943687946,,,-,
1107,ГЗУ-1 ввг,1783942018.165,Running,Srp,21.066622008451787,20.279889036285297,,,-,
1108,ГЗУ-1 ввг,1783942829.244,Stop,Pcp,36.66561717283567,36.555035394946536,,,-,
1109,ГЗУ-34 п,1783942791.928,,Pcp,67.8456689922456,67.70516061451079,,,-,
1110,ГЗУ-34 п,1783938212.122,Running,Pcp,77.90481124895403,77.80522472166437,,,-,
1117,ГЗУ-1 ввг,1783943244.662,Stop,Srp,19.58320602985158,19.439681769546088,,,-,
1123,ГЗУ-1 ввг,1783942461.353,,Srp,17.18019731541374,17.189915768389014,,,-,
1124,ГЗУ-1 ввг,1783940214.464,Stop,Pcp,7.779436304197594,7.785275705578485,,,-,
1126,ГЗУ-1 ввг,1783942830.579,Running,Pcp,30.717670998748357,26.58519618151941,,,-,
1127,ГЗУ-1 ввг,1783943401.574,Running,Srp,20.202337082354497,19.433012091839746,,,-,
1128,ГЗУ-1 ввг,1783943503.485,Running,Pcp,38.90466946951439,38.889858817875385,,,-,
